item_id,item_nome,item_tipo,item_descricao,do_que_se_trata,imagem_atual,arquivo_png_existe,arquivo_webp_existe,pode_melhorar,motivo_melhoria
bandoleiro_sombrio_rare_boots,bandoleiro sombrio rare boots,boots,Item de conjunto (rare),Botas (bandoleiro sombrio rare boots),/images/items/bandoleiro_sombrio_rare_boots_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
bandoleiro_sombrio_rare_chest,bandoleiro sombrio rare chest,chest,Item de conjunto (rare),Casaco/peitoral de vestimenta (bandoleiro sombrio rare chest),/images/items/bandoleiro_sombrio_rare_chest_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
bandoleiro_sombrio_rare_gloves,bandoleiro sombrio rare gloves,gloves,Item de conjunto (rare),Luvas de combate/manuseio (bandoleiro sombrio rare gloves),/images/items/bandoleiro_sombrio_rare_gloves_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
bandoleiro_sombrio_rare_helmet,bandoleiro sombrio rare helmet,helmet,Item de conjunto (rare),Chapéu/cobertura de cabeça (bandoleiro sombrio rare helmet),/images/items/bandoleiro_sombrio_rare_helmet_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
bandoleiro_sombrio_rare_legs,bandoleiro sombrio rare legs,legs,Item de conjunto (rare),Calças/perneiras (bandoleiro sombrio rare legs),/images/items/bandoleiro_sombrio_rare_legs_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
bandoleiro_sombrio_rare_shield,bandoleiro sombrio rare shield,shield,Item de conjunto (rare),Braçadeira/defesa de antebraço (bandoleiro sombrio rare shield),/images/items/bandoleiro_sombrio_rare_shield_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
bandoleiro_sombrio_rare_weapon,bandoleiro sombrio rare weapon,weapon,Item de conjunto (rare),Arma de fogo/combate do Velho Oeste (bandoleiro sombrio rare weapon),/images/items/bandoleiro_sombrio_rare_weapon_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
blood_nugget,Pepita de Sangue,relic,Uma pepita manchada de vermelho que pulsa com vitalidade sombria.,Relíquia temática (blood nugget),/images/items/blood_nugget_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
cacador_recompensas_rare_boots,cacador recompensas rare boots,boots,Item de conjunto (rare),Botas (cacador recompensas rare boots),/images/items/cacador_recompensas_rare_boots_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
cacador_recompensas_rare_chest,cacador recompensas rare chest,chest,Item de conjunto (rare),Casaco/peitoral de vestimenta (cacador recompensas rare chest),/images/items/cacador_recompensas_rare_chest_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
cacador_recompensas_rare_gloves,cacador recompensas rare gloves,gloves,Item de conjunto (rare),Luvas de combate/manuseio (cacador recompensas rare gloves),/images/items/cacador_recompensas_rare_gloves_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
cacador_recompensas_rare_helmet,cacador recompensas rare helmet,helmet,Item de conjunto (rare),Chapéu/cobertura de cabeça (cacador recompensas rare helmet),/images/items/cacador_recompensas_rare_helmet_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
cacador_recompensas_rare_legs,cacador recompensas rare legs,legs,Item de conjunto (rare),Calças/perneiras (cacador recompensas rare legs),/images/items/cacador_recompensas_rare_legs_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
cacador_recompensas_rare_shield,cacador recompensas rare shield,shield,Item de conjunto (rare),Braçadeira/defesa de antebraço (cacador recompensas rare shield),/images/items/cacador_recompensas_rare_shield_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
cacador_recompensas_rare_weapon,cacador recompensas rare weapon,weapon,Item de conjunto (rare),Arma de fogo/combate do Velho Oeste (cacador recompensas rare weapon),/images/items/cacador_recompensas_rare_weapon_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
canned_beans,Feijão Enlatado,consumable,Recupera o fôlego e a energia.,Consumível (canned beans),/images/items/canned_beans_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
cloth_boots,Botas de Pano,boots,Leves para iniciar na trilha.,Botas (cloth boots),/images/items/cloth_boots_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
